cg_ipo_id,symbol,yahoo_sector,yahoo_industry,sector,instrument,is_financial,is_realestate,source
1166,FINOPB.NS,Financial Services,Banks - Regional,Financials,equity,1,0,yahoo
1170,NYKAA.NS,Consumer Cyclical,Internet Retail,Consumer Discretionary,equity,0,0,yahoo
1151,ABSLAMC.NS,Financial Services,Asset Management,Financials,equity,1,0,yahoo
1153,,,,Technology,equity,0,0,name
1149,SANSERA.NS,Consumer Cyclical,Auto Parts,Consumer Discretionary,equity,0,0,yahoo
1145,VIJAYA.NS,Healthcare,Diagnostics & Research,Healthcare,equity,0,0,yahoo
1143,,,,Other,equity,0,0,unknown
1141,CHEMPLASTS.BO,Basic Materials,Chemicals,Materials,equity,0,0,yahoo
1140,APTUS.NS,Financial Services,Mortgage Finance,Financials,equity,1,0,yahoo
1137,CARTRADE.NS,Consumer Cyclical,Auto & Truck Dealerships,Consumer Discretionary,equity,0,0,yahoo
1133,NUVOCO.NS,Basic Materials,Building Materials,Materials,equity,0,0,yahoo
1138,KRSNAA.NS,Healthcare,Diagnostics & Research,Healthcare,equity,0,0,yahoo
1136,DEVYANI.NS,Consumer Cyclical,Restaurants,Consumer Discretionary,equity,0,0,yahoo
1135,WINDLAS.NS,Healthcare,Drug Manufacturers - Specialty & Generic,Healthcare,equity,0,0,yahoo
1134,EXXARO.NS,Industrials,Building Products & Equipment,Industrials,equity,0,0,yahoo
1129,ROLEXRINGS.NS,Industrials,Metal Fabrication,Industrials,equity,0,0,yahoo
1124,,,,Healthcare,equity,0,0,name
1127,TATVA.NS,Basic Materials,Specialty Chemicals,Materials,equity,0,0,yahoo
1126,,,,Other,equity,0,0,unknown
1123,CLEAN.NS,Basic Materials,Specialty Chemicals,Materials,equity,0,0,yahoo
1122,GRINFRA.NS,Industrials,Engineering & Construction,Industrials,equity,0,0,yahoo
1119,IPL.NS,Basic Materials,Agricultural Inputs,Materials,equity,0,0,yahoo
1115,KIMS.NS,Healthcare,Medical Care Facilities,Healthcare,equity,0,0,yahoo
1114,DODLA.NS,Consumer Defensive,Food Distribution,Consumer Discretionary,equity,0,0,yahoo
1112,SONACOMS.NS,Consumer Cyclical,Auto Parts,Consumer Discretionary,equity,0,0,yahoo
1109,,,,Energy,equity,0,0,name
1107,LODHA.NS,Real Estate,Real Estate - Development,Real Estate,equity,0,1,yahoo
1102,,,,Healthcare,equity,0,0,name
1099,SURYODAY.NS,Financial Services,Banks - Regional,Financials,equity,1,0,yahoo
1092,NAZARA.NS,Communication Services,Electronic Gaming & Multimedia,Technology,equity,0,0,yahoo
1098,KALYANKJIL.NS,Consumer Cyclical,Luxury Goods,Consumer Discretionary,equity,0,0,yahoo
1096,LXCHEM.NS,Basic Materials,Specialty Chemicals,Materials,equity,0,0,yahoo
1095,CRAFTSMAN.NS,Consumer Cyclical,Auto Parts,Consumer Discretionary,equity,0,0,yahoo
1097,ANURAS.NS,Basic Materials,Specialty Chemicals,Materials,equity,0,0,yahoo
1089,EASEMYTRIP.NS,Consumer Cyclical,Travel Services,Consumer Discretionary,equity,0,0,yahoo
1088,MTARTECH.BO,Industrials,Specialty Industrial Machinery,Industrials,equity,0,0,yahoo
1085,HERANBA.NS,Basic Materials,Agricultural Inputs,Materials,equity,0,0,yahoo
1073,RAILTEL.NS,Communication Services,Telecom Services,Technology,equity,0,0,yahoo
1084,NURECA.NS,Healthcare,Medical Devices,Healthcare,equity,0,0,yahoo
1081,STOVEKRAFT.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Consumer Discretionary,equity,0,0,yahoo
1080,HOMEFIRST.NS,Financial Services,Mortgage Finance,Financials,equity,1,0,yahoo
1079,INDIGOPNTS.NS,Basic Materials,Specialty Chemicals,Materials,equity,0,0,yahoo
1076,IRFC.NS,Financial Services,Credit Services,Financials,equity,1,0,yahoo
1347,,,,Materials,equity,0,0,name
1355,RADIANTCMS.NS,Industrials,Specialty Business Services,Industrials,equity,0,0,yahoo
1346,ELIN.NS,Industrials,Electrical Equipment & Parts,Industrials,equity,0,0,yahoo
1354,KFINTECH.NS,Technology,Software - Application,Technology,equity,0,0,yahoo
1338,LANDMARK.NS,Consumer Cyclical,Auto & Truck Dealerships,Consumer Discretionary,equity,0,0,yahoo
1350,,,,Other,equity,0,0,unknown
1345,SULA.NS,Consumer Defensive,Beverages - Wineries & Distilleries,Consumer Discretionary,equity,0,0,yahoo
1324,UNIPARTS.NS,Industrials,Farm & Heavy Construction Machinery,Industrials,equity,0,0,yahoo
1339,DHARMAJ.NS,Basic Materials,Agricultural Inputs,Materials,equity,0,0,yahoo
1336,RUSTOMJEE.NS,Real Estate,Real Estate - Development,Real Estate,equity,0,1,yahoo
1335,INOXGREEN.NS,Utilities,Utilities - Renewable,Energy,equity,0,0,yahoo
1321,KAYNES.NS,Technology,Electronic Components,Technology,equity,0,0,yahoo
1334,ACI.NS,Basic Materials,Chemicals,Materials,equity,0,0,yahoo
1327,FIVESTAR.NS,Financial Services,Credit Services,Financials,equity,1,0,yahoo
1332,BIKAJI.NS,Consumer Defensive,Packaged Foods,Consumer Discretionary,equity,0,0,yahoo
1330,MEDANTA.NS,Healthcare,Medical Care Facilities,Healthcare,equity,0,0,yahoo
1331,FUSION.NS,Financial Services,Credit Services,Financials,equity,1,0,yahoo
1316,DCXINDIA.NS,Industrials,Aerospace & Defense,Industrials,equity,0,0,yahoo
1199,TRACXN.NS,Technology,Software - Application,Technology,equity,0,0,yahoo
1318,EMIL.NS,Consumer Cyclical,Specialty Retail,Consumer Discretionary,equity,0,0,yahoo
1283,HARSHA.NS,Industrials,Tools & Accessories,Industrials,equity,0,0,yahoo
1287,TMB.NS,Financial Services,Banks - Regional,Financials,equity,1,0,yahoo
1281,DREAMFOLKS.NS,Industrials,Airports & Air Services,Industrials,equity,0,0,yahoo
1276,SYRMA.NS,Technology,Electronic Components,Technology,equity,0,0,yahoo
1257,AETHER.NS,Basic Materials,Specialty Chemicals,Materials,equity,0,0,yahoo
1254,EMUDHRA.NS,Technology,Software - Application,Technology,equity,0,0,yahoo
1247,ETHOSLTD.NS,Consumer Cyclical,Luxury Goods,Consumer Discretionary,equity,0,0,yahoo
1253,PARADEEP.NS,Basic Materials,Agricultural Inputs,Materials,equity,0,0,yahoo
